TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,3237,INE643A01035,JTEKTINDIA,EQ,,,,,JTEKT INDIA LIMITED,129.8,129.8,126.6,128.98,129.02,131.02,,128.99,,,163819,20931977.52,4693,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,7287,INE391J01032,JTLIND,EQ,,,,,JTL INDUSTRIES LIMITED,73,73.41,70.71,71.28,70.97,73.09,,71.27,,,1065222,77011803.86,6479,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,29590,INE03CC01015,JUBLCPL,EQ,,,,,JUBILANT AGRI N CON PRO L,2315.4,2339.2,2241.3,2263.2,2265,2315.4,,2263.3,,,6631,15213833.3,1442,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,18096,INE797F01020,JUBLFOOD,EQ,,,,,JUBILANT FOODWORKS LTD,652.25,660,645,655.5,650.5,656,,655.5,,,628708,412961437.6,19292,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,2783,INE0BY001018,JUBLINGREA,EQ,,,,,JUBILANT INGREVIA LIMITED,805.65,845.55,776.2,782.7,777.1,810.6,,782.75,,,1374167,1119954243,55653,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,3637,INE700A01033,JUBLPHARMA,EQ,,,,,JUBILANT PHARMOVA LTD,1220,1233.1,1181.2,1194.1,1194.3,1236.3,,1194.1,,,370860,447004998.4,37734,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,7109,INE412C01023,JMA,EQ,,,,,JULLUNDUR MOT AGENCY LTD,92.15,93.79,92,92.08,92,92.52,,92.08,,,4435,410811.86,104,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,22824,INE696F01016,JUNIPER,EQ,,,,,JUNIPER HOTELS LIMITED,301.95,313.95,290,292.4,292.5,302.85,,292.45,,,110870,32846824.15,6414,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,18553,INE682M01012,JLHL,EQ,,,,,JUPITER LIFE LINE HOSP L,1419.9,1454.6,1411.1,1430,1436,1439.4,,1430,,,11509,16519998.7,2536,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,20224,INE209L01016,JWL,EQ,,,,,JUPITER WAGONS LIMITED,344.95,347,339.2,341.6,343,348.45,,341.65,,,439049,150785692.6,14888,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,29962,INE599M01018,JUSTDIAL,EQ,,,,,JUSTDIAL LTD.,845.05,847.45,834.2,840.7,840,850.1,,840.7,,,116632,97964243.35,6452,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,15146,INE668F01031,JYOTHYLAB,EQ,,,,,JYOTHY LABS LIMITED,326.9,337.45,325,332.4,335.6,330.35,,332.4,,,296510,98528422.8,14682,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,21334,INE980O01024,JYOTICNC,EQ,,,,,JYOTI CNC AUTOMATION LTD,1044.5,1044.5,1015.2,1020,1019,1045.9,,1020,,,109833,112736190,8054,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1802,INE197A01024,JYOTISTRUC,EQ,,,,,JYOTI STRUCTURES LTD,16.6,17.03,16.49,16.84,16.82,16.94,,16.84,,,4392601,74039155.76,5680,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,14667,INE157H01023,KMSUGAR,EQ,,,,,K M SUGAR MILLS LTD,27,27.39,26.67,26.95,27,27.25,,26.96,,,36639,986166.19,360,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,27079,INE127T01021,KPEL,EQ,,,,,K.P. ENERGY LIMITED,500,528.6,496.2,519.6,520.8,503.6,,519.65,,,464586,240862816.5,16111,F1,1,,,,,
