FinInstrmId,UndrlygFinInstrmId,FinInstrmNm,symbol,XpryDt,StrkPric,OptnTp,PrtdToTrad,MinLot,NewBrdLotQty,BidIntrvl,StartDt,EndDt,MtrtyDt,PdctStartDt,SrsId,AsstCd,UndrlygInstrmAsstClss,StockNm,SttlmMtd,BasePric,DelFlg,ExrcStartDt,ExrcEndDt,IssdCptl,MinPric,MaxPric,MktTpAndId,OffclCorpActnEvtId,AdmssnTp,IssePric,TradgStsNrmlMkt,ElgbltyNrmlMkt,TradgStsOddLotMkt,ElgbltyOddLotMkt,TradgStsSpotMkt,ElgbltySpotMkt,TradgStsAuctnMkt,ElgbltyAuctnMkt,MrgnPctg,MaxTradQty,WrngQty,AdmssnDt,RmvlDt,RadmssnDt,RcrdDt,NoDlvryStartDt,NoDlvryEndDt,SpclExDt,BookClsrStartDt,BookClsrEndDt,StockRcrdDt,TckrSelctn,OdOffclCorpActnEvtId,CdtRatg,Mtg,IntrstOrDvdd,RghtsOrBns,MinFillAllOrNn,AddtlInf,OptnExrcStyle,ExrcAllwd,ExrcRjctAllwd,PLAllwd,CorpAdjstmnt,UndrlygInstrm,DcmlstnPric,PartnIdr,UnqPdctIdr,CpctyGrpId,SctyId,Mltplr,SctyLngNm,UndrlygMkt,CtrctTp,FinInstrmPdctTpCd,FinInstrmTp,TradToTradInd,IndxFlg,Indx,IndxPrtcptnInd,ExtrnlDataSrcFlg,LastUpd,FinInstrmGnlAttrbts,AddtlUndrlygAttrbts,UndrlygAsst,OrgnlXpryDt,SgmtId,UnitOfMeasr,PricQtQty,PricRgTp,InitlMrgnTp,BuyInitlMrgnRate,MaxSnglTxnQty,MaxSnglTxnVal,AsstClss,NearMnthInstrmIdr,FarMnthInstrmIdr,PricNmrtr,Spcfctn,PricDnmtr,GnlNmrtr,GnlDnmtr,LotNmrtr,LotDnmtr,DcmlLctr,SttlmTp,ParVal,CorpActnRsn,FreeFltCptl,ISIN,SellInitlMrgnRate,RatgDtls,FinInstrmClssfctn,SpclMrgnTp,BuySpclMrgnRat,SellSpclMrgnRat,InitlMrgnSprdBnftFlg,InstrmEndDtTm,Ccy,PdctMnth,GrpId,MtchgCrit,SprdTp,ValMtd,SLBMElgblty,PricMtd,InstrmId,XpryPrcDt,MrgnInd,RglrBuyMrgn,RglrSellMrgn,SprdBnftAllwd,DlvryWght,DlvryUnit,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07,Rsvd08,Rsvd09,Rsvd10,Rsvd11,Rsvd12,Rsvd13,Rsvd14,Rsvd15
35195,1270,OPTSTK,AMBUJACEM,1440858600,84000,CE,1,1050,1050,5,1436313600,0,1440858600,,XX,,,AMBUJACEM25AUG840CE,P,5,N,1440806400,1440858600,2.46E+09,5,2005,1,0,0,0,2,1,2,0,2,0,3,0,0,4.20E+04,0,1436313600,0,0,0,0,0,0,0,0,1438793466,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35212,212,OPTSTK,ASHOKLEY,1440858600,8750,CE,1,5000,5000,5,1433289600,0,1440858600,,XX,,,ASHOKLEY25AUG87.5CE,P,3545,N,1440806400,1440858600,2.94E+09,1545,5545,1,0,0,0,2,1,2,0,2,0,3,0,0,2.00E+05,0,1433289600,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,0,2,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35234,15083,OPTSTK,ADANIPORTS,1440858600,94000,CE,1,475,475,5,1438732800,0,1440858600,,XX,,,ADANIPORTS25AUG940CE,P,45260,N,1440806400,1440858600,2.16E+09,35980,54540,1,0,0,0,2,1,2,0,2,0,3,0,0,1.90E+04,0,1438732800,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35261,275,OPTSTK,AUROPHARMA,1440858600,64000,CE,1,550,550,5,1433289600,0,1440858600,,XX,,,AUROPHARMA25AUG640CE,P,45295,N,1440806400,1440858600,5.81E+08,39205,51385,1,0,0,0,2,1,2,0,2,0,3,0,0,2.20E+04,0,1433289600,0,0,0,0,0,0,0,0,1438794940,15,1,            ,2,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35289,324,OPTSTK,ANGELONE,1440858600,165000,CE,1,250,250,5,1438732800,0,1440858600,,XX,,,ANGELONE25AUG1650CE,P,98420,N,1440806400,1440858600,9.05E+07,74310,122530,1,0,0,0,2,1,2,0,2,0,3,0,0,7.50E+03,0,1438732800,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35304,383,OPTSTK,BEL,1440858600,29000,CE,1,2850,2850,5,1433289600,0,1440858600,,XX,,,BEL25AUG290CE,P,10075,N,1440806400,1440858600,7.31E+09,7615,12535,1,0,0,0,2,1,2,0,2,0,3,0,0,5.70E+04,0,1433289600,0,0,0,0,0,0,0,0,1438794940,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35306,157,OPTSTK,APOLLOHOSP,1443709800,555000,CE,1,125,125,5,1438732800,0,1443709800,,XX,,,APOLLOHOSP25SEP5550CE,P,181120,N,1443657600,1443709800,1.44E+08,150770,211470,1,0,0,0,2,1,2,0,2,0,3,0,0,3.75E+03,0,1438732800,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35308,438,OPTSTK,BHEL,1440858600,17000,CE,1,2625,2625,5,1433289600,0,1440858600,,XX,,,BHEL25AUG170CE,P,7215,N,1440806400,1440858600,3.48E+09,5215,9215,1,0,0,0,2,1,2,0,2,0,3,0,0,1.05E+05,0,1433289600,0,0,0,0,0,0,0,0,1438794940,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35316,236,OPTSTK,ASIANPAINT,1443709800,310000,CE,1,250,250,5,1438732800,0,1443709800,,XX,,,ASIANPAINT25SEP3100CE,P,85,N,1443657600,1443709800,9.59E+08,5,2085,1,0,0,0,2,1,2,0,2,0,3,0,0,1.00E+04,0,1438732800,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35318,25780,OPTSTK,APLAPOLLO,1440858600,92000,CE,1,350,350,5,1435708800,0,1440858600,,XX,,,APLAPOLLO25AUG920CE,P,67005,N,1440806400,1440858600,2.78E+08,57540,76470,1,0,0,0,2,1,2,0,2,0,3,0,0,1.40E+04,0,1435708800,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
