priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,Index
"0","TATASTEEL","TATASTEELEQN","192","192.19","187.78","191.2","187.17","4.03","2.15","1575982418322.27","216.45","125.3","34321983","0","6522549649.32","","11.665511665511666","-52.593774940143646","20.69","-8.57","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TATASTEELEQN.svg","https://nsearchives.nseindia.com/30d/TATASTEEL-EQ.svg","https://nsearchives.nseindia.com/365d/TATASTEEL-EQ.svg","NIFTY 50"
"0","BEL","BELEQN","412.5","417.45","408.75","415","405.5","9.5","2.34","1482281483007.49","473.45","256.2","14642804","0","6056410162.44","","12.34554863237934","-61.98282591725216","37.37","-4.61","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BELEQN.svg","https://nsearchives.nseindia.com/30d/BEL-EQ.svg","https://nsearchives.nseindia.com/365d/BEL-EQ.svg","NIFTY 50"
"0","GRASIM","GRASIMEQN","2565.5","2600.7","2523","2565","2531.1","33.9","1.34","977152527438.55","2979","2465.5","2303237","0","5891726310.74","","13.897280966767372","-4.03569255729061","2.06","-10.92","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/GRASIMEQN.svg","https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg","https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg","NIFTY 50"
"0","TECHM","TECHMEQN","1414","1439.2","1400","1433","1384","49","3.54","907265056585.31","1854","1209.4","3988700","0","5671771852","","22.707659115426107","-18.48850669753596","-1.76","6.51","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TECHMEQN.svg","https://nsearchives.nseindia.com/30d/TECHM-EQ.svg","https://nsearchives.nseindia.com/365d/TECHM-EQ.svg","NIFTY 50"
"0","TITAN","TITANEQN","3950.3","3985","3843","3918.9","3853.1","65.8","1.71","1613001289475.41","4378.4","2925","1300547","0","5080365762.51","","10.494701260734505","-33.97948717948719","27.27","-8.75","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TITANEQN.svg","https://nsearchives.nseindia.com/30d/TITAN-EQ.svg","https://nsearchives.nseindia.com/365d/TITAN-EQ.svg","NIFTY 50"
"0","ONGC","ONGCEQN","268.55","273.3","266.85","268.5","265.45","3.05","1.15","1040080194160.58","293","205","18567283","0","5014280446.98","","8.361774744027304","-30.975609756097562","10.12","-2.89","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ONGCEQN.svg","https://nsearchives.nseindia.com/30d/ONGC-EQ.svg","https://nsearchives.nseindia.com/365d/ONGC-EQ.svg","NIFTY 50"
"0","EICHERMOT","EICHERMOTEQN","6800","6966.5","6753","6867.5","6681.5","186","2.78","942693126072.96","8230","4999.95","723633","0","4976995811.07","","16.555285540704737","-37.35137351373515","26.61","-13.39","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/EICHERMOTEQN.svg","https://nsearchives.nseindia.com/30d/EICHERMOT-EQ.svg","https://nsearchives.nseindia.com/365d/EICHERMOT-EQ.svg","NIFTY 50"
"0","HCLTECH","HCLTECHEQN","1380","1394","1360","1375","1358.6","16.4","1.21","1446706761522.56","1780.1","1297.7","3555664","0","4899918331.84","","22.757148474804783","-5.956692610002308","-14.28","2.67","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HCLTECHEQN.svg","https://nsearchives.nseindia.com/30d/HCLTECH-EQ.svg","https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg","NIFTY 50"
"0","APOLLOHOSP","APOLLOHOSPEQN","7210","7464","7199","7433.5","7145","288.5","4.04","763037191904.19","8099.5","6430.25","653790","0","4827519981","","8.222729798135687","-15.602037245830255","12.36","-3.72","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/APOLLOHOSPEQN.svg","https://nsearchives.nseindia.com/30d/APOLLOHOSP-EQ.svg","https://nsearchives.nseindia.com/365d/APOLLOHOSP-EQ.svg","NIFTY 50"
"0","ADANIPORTS","ADANIPORTSEQN","1343","1361","1313.6","1345","1303.6","41.4","3.18","989467213588.38","1584","1041.5","3132212","0","4187297612.2","","15.08838383838384","-29.14066250600096","12.01","-13.53","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ADANIPORTSEQN.svg","https://nsearchives.nseindia.com/30d/ADANIPORTS-EQ.svg","https://nsearchives.nseindia.com/365d/ADANIPORTS-EQ.svg","NIFTY 50"
"0","DRREDDY","DRREDDYEQN","1267.2","1279.8","1248.4","1256.6","1253.3","3.3","0.26","763627736475.36","1379.7","1020","3166135","0","3984454252.1","","8.922229470174686","-23.19607843137254","3.83","-3.35","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/DRREDDYEQN.svg","https://nsearchives.nseindia.com/30d/DRREDDY-EQ.svg","https://nsearchives.nseindia.com/365d/DRREDDY-EQ.svg","NIFTY 50"
"0","ULTRACEMCO","ULTRACEMCOEQN","10650","10867","10472","10771","10362","409","3.95","1273296611919.48","13110","10325","369647","0","3960316635.66","","17.84134248665141","-4.319612590799031","-2.54","-16.89","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ULTRACEMCOEQN.svg","https://nsearchives.nseindia.com/30d/ULTRACEMCO-EQ.svg","https://nsearchives.nseindia.com/365d/ULTRACEMCO-EQ.svg","NIFTY 50"
"0","BAJAJ-AUTO","BAJAJ-AUTOEQN","8900","9022.5","8792","8902","8776","126","1.44","985064590636.55","10187","7089.35","438132","0","3908899789.68","","12.614116030234612","-25.568634642103994","9.56","-9.43","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BAJAJ-AUTOEQN.svg","https://nsearchives.nseindia.com/30d/BAJAJ-AUTO-EQ.svg","https://nsearchives.nseindia.com/365d/BAJAJ-AUTO-EQ.svg","NIFTY 50"
"0","JIOFIN","JIOFINEQN","232.85","234","227.75","232.9","226.1","6.8","3.01","761337404783.66","338.6","203.1","16119867","0","3727074449.07","","31.216774955699943","-14.672575086164455","0.09","-8.76","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/JIOFINEQN.svg","https://nsearchives.nseindia.com/30d/JIOFIN-EQ.svg","https://nsearchives.nseindia.com/365d/JIOFIN-EQ.svg","NIFTY 50"
"0","SUNPHARMA","SUNPHARMAEQN","1775","1779.9","1745.1","1752.8","1758.4","-5.6","-0.32","1850818201918.89","1851.2","1548","2040152","0","3593013694.8","","5.315471045808129","-13.229974160206716","-1.79","1.21","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/SUNPHARMAEQN.svg","https://nsearchives.nseindia.com/30d/SUNPHARMA-EQ.svg","https://nsearchives.nseindia.com/365d/SUNPHARMA-EQ.svg","NIFTY 50"
"0","HINDUNILVR","HINDUNILVREQN","2070","2115","2066","2091","2052.2","38.8","1.89","1850518994570.97","2750","2033.3","1702418","0","3554597711.46","","23.963636363636365","-2.837751438548175","-7.32","-11.35","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HINDUNILVREQN.svg","https://nsearchives.nseindia.com/30d/HINDUNILVR-EQ.svg","https://nsearchives.nseindia.com/365d/HINDUNILVR-EQ.svg","NIFTY 50"
"0","NTPC","NTPCEQN","378","378.15","371","375","372.4","2.6","0.7","1772886316360.09","394.5","315.55","9339144","0","3502832740.08","","4.942965779467681","-18.84012042465536","2.19","-2.02","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/NTPCEQN.svg","https://nsearchives.nseindia.com/30d/NTPC-EQ.svg","https://nsearchives.nseindia.com/365d/NTPC-EQ.svg","NIFTY 50"
